address,name,protocol,category,chain_id,verified_date,description,website,security_audit,tvl_usd,volume_24h_usd
0x8894E0a0c962CB723c1976a4421c95949bE2D4E6,BSC Bridge,Binance,Bridge,56,2020-09-01,Bridge contract for Binance Smart Chain,https://binance.org,true,850000000,125000000
0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,Polygon Bridge,Polygon,Bridge,137,2020-05-30,Polygon PoS bridge contract,https://polygon.technology,true,420000000,65000000
0x50ff3B278fCC70ec7A9465063d68029AB460eA04,Avalanche Bridge,Avalanche,Bridge,43114,2020-09-22,Bridge for Avalanche C-Chain,https://avax.network,true,180000000,28000000
0xC564EE9f21Ed8A2d8E7e76c085740d5e4c5FaFbE,Fantom Bridge,Fantom,Bridge,250,2019-12-27,Fantom network bridge contract,https://fantom.foundation,true,65000000,8500000
0xe44Fd7fCb2b1581822D0c862B68222998a0c299a,Cronos Bridge,Cronos,Bridge,25,2021-11-08,Bridge for Cronos network,https://cronos.org,true,42000000,3200000
0x8315177aB297bA92A06054cE80a67Ed4DBd7ed3a,Arbitrum Bridge,Arbitrum,Bridge,42161,2021-08-31,Arbitrum One bridge contract,https://arbitrum.io,true,2400000000,180000000
0x25ace71c97B33Cc4729CF772ae268934F7ab5fA1,Optimism Bridge,Optimism,Bridge,10,2021-12-16,Optimism bridge contract,https://optimism.io,true,980000000,85000000
0x4C36d2919e407f0Cc2Ee3c993ccF8ac26d9CE64e,Gnosis Bridge,Gnosis,Bridge,100,2018-10-08,xDai bridge contract,https://gnosis.io,true,125000000,12000000
0x6A4dD7B0CD06Ad71e5dF6D47E4Da6C8A0f3A5E0a,Dogechain Bridge,Dogechain,Bridge,2000,2022-08-29,Dogechain network bridge,https://dogechain.dog,true,18000000,2400000
0x866E82a600A1414e583f7F13623F1aC5d58b0Afa,Base Bridge,Base,Bridge,8453,2023-08-09,Coinbase Base L2 bridge,https://base.org,true,1800000000,285000000
0x32400084C286CF3E17e7B677ea9583e60a000324,zkSync Bridge,Matter Labs,Bridge,324,2023-03-24,zkSync Era bridge contract,https://zksync.io,true,650000000,48000000
0xd19d4B5d358258f05D7B411E21A1460D11B0876F,Linea Bridge,ConsenSys,Bridge,59144,2023-07-11,Linea zkEVM bridge,https://linea.build,true,280000000,22000000
0x781e90f1c8Fc4611c9b7497C3B47F99Ef6969CbC,Scroll Bridge,Scroll,Bridge,534352,2023-10-17,Scroll zkEVM bridge,https://scroll.io,true,185000000,15000000
0x95fC37A27a2f68e3A647CDc081F0A89bb47c3012,Mantle Bridge,Mantle,Bridge,5000,2023-07-17,Mantle L2 bridge contract,https://mantle.xyz,true,420000000,28000000
0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,Celo Bridge,cLabs,Bridge,42220,2020-04-22,Celo network bridge,https://celo.org,true,95000000,8500000
